ds,y
02-01-2015,68.80999756
05-01-2015,67.12000275
06-01-2015,66.45999908
07-01-2015,66.58999634
08-01-2015,68.5
09-01-2015,68.40000153
12-01-2015,67.62999725
13-01-2015,68.09999847
14-01-2015,64.58999634
15-01-2015,64.88999939
16-01-2015,66.23000336
20-01-2015,66.52999878
21-01-2015,67.48999786
22-01-2015,69.18000031
23-01-2015,68.69000244
26-01-2015,67.51000214
27-01-2015,67.31999969
28-01-2015,67.20999908
29-01-2015,64.91999817
30-01-2015,73.98999786
02-02-2015,73.75
03-02-2015,75.75
04-02-2015,74.66000366
05-02-2015,75.48999786
06-02-2015,76.27999878
09-02-2015,75.47000122
10-02-2015,76.98999786
11-02-2015,76.86000061
12-02-2015,76.98999786
13-02-2015,77.59999847
17-02-2015,78.54000092
18-02-2015,79.18000031
19-02-2015,80.69000244
20-02-2015,79.55000305
23-02-2015,79.73999786
24-02-2015,80.87999725
25-02-2015,80.86000061
26-02-2015,82.30000305
27-02-2015,81.98000336
02-03-2015,81.79000092
03-03-2015,81.30999756
04-03-2015,81.30000305
05-03-2015,81.48000336
06-03-2015,80.73999786
09-03-2015,82.30999756
10-03-2015,83.41000366
11-03-2015,83.37999725
12-03-2015,84.12000275
13-03-2015,84.31999969
16-03-2015,84.58999634
17-03-2015,84.66999817
18-03-2015,86.83999634
19-03-2015,86.48999786
20-03-2015,86.79000092
23-03-2015,87.30000305
24-03-2015,87.38999939
25-03-2015,86.80999756
26-03-2015,84.58000183
27-03-2015,85.33999634
30-03-2015,87.16000366
31-03-2015,86.59999847
01-04-2015,86.08999634
02-04-2015,87.66999817
06-04-2015,86.97000122
07-04-2015,86.83000183
08-04-2015,86.47000122
09-04-2015,84.79000092
10-04-2015,84.79000092
13-04-2015,85.23000336
14-04-2015,84.51999664
15-04-2015,85.69000244
16-04-2015,85.16999817
17-04-2015,83.63999939
20-04-2015,85.05000305
21-04-2015,88
22-04-2015,84.45999908
23-04-2015,84.01999664
24-04-2015,85.20999908
27-04-2015,85.69999695
28-04-2015,86.19000244
29-04-2015,86.38999939
30-04-2015,85.91999817
01-05-2015,85.97000122
04-05-2015,85.95999908
05-05-2015,85.20999908
06-05-2015,83.87999725
07-05-2015,83.30999756
08-05-2015,84.94000244
11-05-2015,87.12000275
12-05-2015,85.41000366
13-05-2015,85.37000275
14-05-2015,86
15-05-2015,86.91999817
18-05-2015,87.31999969
19-05-2015,87.18000031
20-05-2015,86.87999725
21-05-2015,86.95999908
22-05-2015,86.72000122
26-05-2015,85.55000305
27-05-2015,86.23000336
28-05-2015,86.08999634
29-05-2015,85.51000214
01-06-2015,85.66000366
02-06-2015,86.41000366
03-06-2015,86.58000183
04-06-2015,86.01999664
05-06-2015,85.43000031
08-06-2015,86.30999756
09-06-2015,86.48999786
10-06-2015,88.01999664
11-06-2015,88.79000092
12-06-2015,88.59999847
15-06-2015,90
16-06-2015,88.97000122
17-06-2015,89.25
18-06-2015,90.81999969
19-06-2015,90.80999756
22-06-2015,92.05999756
23-06-2015,92.26999664
24-06-2015,91.94999695
25-06-2015,91.76000214
26-06-2015,92.09999847
29-06-2015,90.95999908
30-06-2015,89.81999969
01-07-2015,90.87999725
02-07-2015,90.93000031
06-07-2015,89.34999847
07-07-2015,90.27999878
08-07-2015,90.76000214
09-07-2015,90.29000092
10-07-2015,92.01000214
13-07-2015,92.61000061
14-07-2015,94.05000305
15-07-2015,94.55999756
16-07-2015,94.98999786
17-07-2015,94.91000366
20-07-2015,94.84999847
21-07-2015,92.19000244
22-07-2015,92.55000305
23-07-2015,92.77999878
24-07-2015,90.48999786
27-07-2015,88.75
28-07-2015,89.75
29-07-2015,90.58000183
30-07-2015,90.48000336
31-07-2015,91.80000305
03-08-2015,91.31999969
04-08-2015,92.11000061
05-08-2015,92.87999725
06-08-2015,91.95999908
07-08-2015,92.66999817
10-08-2015,93.90000153
11-08-2015,93.38999939
12-08-2015,93.44999695
13-08-2015,95.16000366
14-08-2015,95.76999664
17-08-2015,96.58999634
18-08-2015,96.87000275
19-08-2015,96.05000305
20-08-2015,93.76999664
21-08-2015,91.30000305
24-08-2015,86.25
25-08-2015,85.25
26-08-2015,85.48000336
27-08-2015,87.94999695
28-08-2015,87.41999817
31-08-2015,87.72000122
01-09-2015,86.08999634
02-09-2015,86.73999786
03-09-2015,88.08999634
04-09-2015,86.62999725
08-09-2015,88.69999695
09-09-2015,89.72000122
10-09-2015,88.41999817
11-09-2015,87.83999634
14-09-2015,88.05999756
15-09-2015,88.91999817
16-09-2015,90.13999939
17-09-2015,90.19999695
18-09-2015,87.23000336
21-09-2015,87.48000336
22-09-2015,85.12999725
23-09-2015,85.77999878
24-09-2015,84.16000366
25-09-2015,83.94999695
28-09-2015,82.94999695
29-09-2015,79.22000122
30-09-2015,82.16000366
01-10-2015,82.33999634
02-10-2015,81.48000336
05-10-2015,82.59999847
06-10-2015,82.55000305
07-10-2015,83.15000153
08-10-2015,85.37000275
09-10-2015,86.47000122
12-10-2015,87.62999725
13-10-2015,87.16999817
14-10-2015,87.5
15-10-2015,87.63999939
16-10-2015,88.29000092
19-10-2015,87.75
20-10-2015,88.37999725
21-10-2015,86.05999756
22-10-2015,85.43000031
23-10-2015,86.95999908
26-10-2015,86.22000122
27-10-2015,87.06999969
28-10-2015,89.58000183
